n,tag,content
1,positive,"I love this movie it's amazing and wonderful"
2,negative,"This film is terrible and boring waste of time"
3,positive,"Great acting and wonderful story highly recommend"
4,negative,"Waste of time completely disappointed terrible"
5,positive,"Excellent cinematography and direction fantastic"
6,negative,"Poor script and bad acting boring plot"
7,positive,"Fantastic movie highly recommend amazing"
8,negative,"Boring plot and slow pacing terrible film"
9,positive,"Outstanding performance by the cast wonderful"
10,negative,"Not worth watching at all terrible movie"
11,positive,"Amazing film with great story and acting"
12,negative,"Terrible movie waste of money boring"
13,positive,"Wonderful acting and excellent direction"
14,negative,"Bad film with poor script and acting"
15,positive,"Great movie highly recommend fantastic"
16,negative,"Boring and disappointing terrible waste"
17,positive,"Excellent film with amazing performances"
18,negative,"Poor movie terrible acting and script"
19,positive,"Fantastic story with wonderful characters"
20,negative,"Waste of time bad film not worth it"